DATE,CB_F,CB_JG,JG_F,JG_KJ,JG_OR,JG_KR,SS_F,KR_NSB,KR_SS,NSB_SS
2016-10-11 0:00,4003,-2.9288,4005,8.615,4.7325,6.8875,2449,-2.625,1.3675,3.9925
2016-10-11 0:01,4006,-2.6688,4000,8.618,4.7325,6.89,2449,-2.625,1.3675,3.9925
2016-10-11 0:02,4025,-3.09,4011,8.61,4.73,6.885,2444,-2.583,1.3625,3.945
2016-10-11 0:03,4031,-2.6888,4024,8.618,4.735,6.8875,2448,-2.625,1.375,4
2016-10-11 0:04,4000,-3.0213,4014,8.61,4.7275,6.8875,2451,-2.635,1.37,4.005
2016-10-11 0:05,4006,-3.0438,4012,8.618,4.7325,6.8875,2450,-2.633,1.3775,4.01
2016-10-11 0:06,4014,-3.075,4003,8.618,4.7325,6.89,2451,-2.625,1.3675,3.9925
2016-10-11 0:07,4008,-3.15,4000,8.618,4.7325,6.8875,2454,-2.625,1.375,4
2016-10-11 0:08,3994,-3.2163,3996,8.615,4.735,6.895,2450,-2.625,1.375,4
2016-10-11 0:09,4011,-3.21,4004,8.618,4.735,6.89,2445,-2.635,1.375,4.01
2016-10-11 0:10,4029,-2.98,4017,8.618,4.7325,6.89,2445,-2.625,1.375,4
2016-10-11 0:11,4031,-3.1688,4023,8.615,4.7325,6.8875,2448,-2.633,1.3775,4.01
2016-10-11 0:12,4009,-3.0337,4014,8.618,4.735,6.8925,2447,-2.635,1.375,4.01
2016-10-11 0:13,4003,-3.1213,4012,8.618,4.7325,6.8875,2454,-2.633,1.375,4.0075
2016-10-11 0:14,3986,-2.7775,4048,8.605,4.7275,6.8825,2451,-2.625,1.375,4
2016-10-11 0:15,3995,-3.2288,4022,8.618,4.735,6.8875,2448,-2.623,1.375,3.9975
2016-10-11 0:16,4000,-3.0038,3989,8.61,4.7275,6.885,2442,-2.635,1.3725,4.0075
2016-10-11 0:17,3993,-2.995,4006,8.61,4.7275,6.885,2441,-2.635,1.37,4.005
2016-10-11 0:18,4019,-2.8913,3986,8.613,4.7325,6.8925,2447,-2.635,1.3725,4.0075
2016-10-11 0:19,4029,-2.3925,4009,8.613,4.7275,6.8875,2448,-2.625,1.3725,3.9975
2016-10-11 0:20,4009,-3.055,4029,8.615,4.7325,6.89,2445,-2.623,1.3775,4
2016-10-11 0:21,3993,-3.1187,3999,8.618,4.735,6.895,2440,-2.625,1.375,4
2016-10-11 0:22,4014,-3.1775,4007,8.613,4.7275,6.8875,2451,-2.625,1.3675,3.9925
2016-10-11 0:23,4025,-2.685,4007,8.615,4.7375,6.89,2455,-2.645,1.3625,4.0075
2016-10-11 0:24,4005,-3.155,4015,8.613,4.725,6.8875,2446,-2.635,1.375,4.01
2016-10-11 0:25,3990,-3.1588,3987,8.615,4.7325,6.8875,2445,-2.613,1.37,3.9825
2016-10-11 0:26,4005,-3.1437,4007,8.613,4.73,6.885,2447,-2.623,1.3775,4
2016-10-11 0:27,4028,-3.0875,4002,8.618,4.735,6.8875,2446,-2.613,1.3725,3.985
2016-10-11 0:28,4005,-3.0488,3966,8.615,4.7325,6.8925,2444,-2.625,1.34,3.965
2016-10-11 0:29,3994,-3.1613,4021,8.615,4.7325,6.89,2443,-2.623,1.3825,4.005
2016-10-11 0:30,4004,-2.7313,4002,8.618,4.7325,6.8975,2444,-2.625,1.3725,3.9975
2016-10-11 0:31,4034,-3.0563,3966,8.618,4.7325,6.8875,2444,-2.633,1.37,4.0025
2016-10-11 0:32,4017,-3.0838,4001,8.618,4.735,6.89,2440,-2.673,1.3825,4.055
2016-10-11 0:33,4002,-3.0988,3972,8.615,4.735,6.8925,2442,-2.655,1.3725,4.0275
2016-10-11 0:34,4010,-2.7888,4059,8.61,4.7275,6.885,2448,-2.645,1.365,4.01
2016-10-11 0:35,4003,-2.9688,4026,8.61,4.7275,6.885,2448,-2.645,1.37,4.015
2016-10-11 0:36,4009,-3.07,4010,8.618,4.735,6.8875,2441,-2.645,1.3725,4.0175
2016-10-11 0:37,4007,-3.0863,4007,8.613,4.73,6.885,2442,-2.635,1.3575,3.9925
2016-10-11 0:38,4008,-3.1888,4003,8.608,4.725,6.8825,2446,-2.645,1.36,4.005
2016-10-11 0:39,4014,-2.4988,4037,8.61,4.7225,6.88,2443,-2.643,1.3775,4.02
2016-10-11 0:40,4065,-3.045,4082,8.655,4.7625,6.93,2449,-2.655,1.3725,4.0275
2016-10-11 0:41,4085,-2.9087,4098,8.655,4.765,6.9275,2446,-2.643,1.3775,4.02
2016-10-11 0:42,4066,-3.1125,4076,8.63,4.7425,6.905,2449,-2.645,1.3725,4.0175
2016-10-11 0:43,4101,-3.1438,4064,8.645,4.7575,6.9175,2446,-2.64,1.375,4.015
2016-10-11 0:44,4077,-3.1038,4041,8.64,4.7525,6.9125,2461,-2.64,1.3725,4.0125
2016-10-11 0:45,4085,-3.13,4106,8.64,4.75,6.9125,2453,-2.643,1.3625,4.005
2016-10-11 0:46,4082,-3.0525,4052,8.645,4.755,6.9175,2463,-2.653,1.3625,4.015
2016-10-11 0:47,4104,-2.545,4070,8.645,4.755,6.9175,2452,-2.65,1.3775,4.0275
2016-10-11 0:48,4074,-2.9638,4064,8.645,4.7575,6.9175,2449,-2.638,1.3775,4.015
2016-10-11 0:49,4098,-2.9338,4096,8.64,4.75,6.9125,2455,-2.643,1.385,4.0275
2016-10-11 0:50,4109,-3.1637,4081,8.653,4.765,6.9225,2455,-2.64,1.38,4.02
2016-10-11 0:51,4082,-3.095,4081,8.64,4.7575,6.9125,2449,-2.623,1.375,3.9975
2016-10-11 0:52,4083,-3.0787,4082,8.64,4.75,6.9125,2450,-2.633,1.37,4.0025
2016-10-11 0:53,4050,-3.1325,4080,8.64,4.755,6.9125,2455,-2.633,1.375,4.0075
2016-10-11 0:54,4054,-2.9837,4095,8.645,4.7525,6.9175,2448,-2.64,1.3725,4.0125
2016-10-11 0:55,4071,-3.14,4070,8.628,4.7375,6.9025,2454,-2.623,1.37,3.9925
2016-10-11 0:56,4098,-3.0663,4077,8.655,4.765,6.9275,2453,-2.628,1.38,4.0075
2016-10-11 0:57,4085,-3.085,4069,8.64,4.75,6.915,2449,-2.635,1.365,4
2016-10-11 0:58,4079,-2.9037,4094,8.645,4.7575,6.92,2447,-2.635,1.3675,4.0025
2016-10-11 0:59,4120,-2.84,4056,8.645,4.7575,6.92,2455,-2.635,1.3725,4.0075
2016-10-11 1:00,4090,-3.1387,4066,8.65,4.7625,6.9225,2454,-2.563,1.39,3.9525
2016-10-11 1:01,4086,-2.995,4091,8.64,4.7525,6.915,2460,-2.613,1.37,3.9825
2016-10-11 1:02,4077,-3.0787,4075,8.635,4.7475,6.91,2458,-2.615,1.37,3.985
2016-10-11 1:03,4066,-3.0963,4101,8.655,4.7725,6.9275,2459,-2.613,1.365,3.9775
2016-10-11 1:04,4094,-3.09,4060,8.645,4.76,6.92,2456,-2.613,1.3625,3.975
2016-10-11 1:05,4101,-3.0437,4068,8.645,4.7575,6.9175,2456,-2.615,1.375,3.99
2016-10-11 1:06,4063,-3.0375,4074,8.645,4.755,6.9175,2450,-2.593,1.385,3.9775
2016-10-11 1:07,4100,-2.9787,4093,8.64,4.75,6.9125,2444,-2.613,1.36,3.9725
2016-10-11 1:08,4070,-3.0638,4104,8.643,4.7575,6.9175,2455,-2.613,1.3775,3.99
2016-10-11 1:09,4063,-2.9638,4071,8.65,4.76,6.9225,2457,-2.623,1.37,3.9925
2016-10-11 1:10,4100,-3.01,4103,8.64,4.75,6.9125,2455,-2.613,1.375,3.9875
2016-10-11 1:11,4071,-3.0125,4081,8.645,4.755,6.9175,2451,-2.613,1.37,3.9825
2016-10-11 1:12,4102,-2.7288,4065,8.65,4.76,6.9225,2451,-2.61,1.37,3.98
2016-10-11 1:13,4108,-2.5813,4090,8.64,4.75,6.9175,2453,-2.615,1.3725,3.9875
2016-10-11 1:14,4067,-2.8587,4055,8.645,4.7525,6.9175,2444,-2.613,1.375,3.9875
2016-10-11 1:15,4096,-2.885,4083,8.64,4.755,6.9125,2446,-2.623,1.3775,4
2016-10-11 1:16,4095,-2.9987,4072,8.65,4.765,6.9225,2457,-2.593,1.3925,3.985
2016-10-11 1:17,4064,-2.9963,4075,8.643,4.755,6.9175,2454,-2.615,1.3625,3.9775
2016-10-11 1:18,4089,-3.0387,4094,8.633,4.745,6.9075,2451,-2.615,1.3675,3.9825
2016-10-11 1:19,4067,-3.01,4092,8.638,4.7475,6.9125,2452,-2.613,1.3725,3.985
2016-10-11 1:20,4099,-2.7613,4072,8.65,4.76,6.9225,2449,-2.613,1.3875,4
